0,Resumption of the session,Reanudación del período de sesiones,{},f
1,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.",{},f
2,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.",{},f
3,"You have requested a debate on this subject in the course of the next few days, during this part-session.","Sus Señorías han solicitado un debate sobre el tema para los próximos días, en el curso de este período de sesiones.",{},f
4,"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","A la espera de que se produzca, de acuerdo con muchos colegas que me lo han pedido, pido que hagamos un minuto de silencio en memoria de todas las víctimas de las tormentas, en los distintos países de la Unión Europea afectados.",{},f
5,"Please rise, then, for this minute' s silence.",Invito a todos a que nos pongamos de pie para guardar un minuto de silencio.,{},f
6,(The House rose and observed a minute' s silence),"(El Parlamento, de pie, guarda un minuto de silencio)",{},f
7,"Madam President, on a point of order.","Señora Presidenta, una cuestión de procedimiento.",{},f
8,You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Sabrá usted por la prensa y la televisión que se han producido una serie de explosiones y asesinatos en Sri Lanka.,{},f
9,"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","Una de las personas que recientemente han asesinado en Sri Lanka ha sido al Sr. Kumar Ponnambalam, quien hace pocos meses visitó el Parlamento Europeo.",{},f
10,"Would it be appropriate for you, Madam President, to write a letter to the Sri Lankan President expressing Parliament's regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation?","¿Sería apropiado que usted, Señora Presidenta, escribiese una carta al Presidente de Sri Lanka expresando las condolencias del Parlamento por esa y otras muertes violentas, pidiéndole que haga todo lo posible para encontrar una reconciliación pacífica ante la extremadamente difícil situación que está viviendo su país?",{},f
11,"Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.","Sí, señor Evans, pienso que una iniciativa como la que usted acaba de sugerir sería muy adecuada.",{},f
12,"If the House agrees, I shall do as Mr Evans has suggested.","Si la Asamblea está de acuerdo, haré lo que el señor Evans acaba de sugerir.",{},f
13,"Madam President, on a point of order.","Señora Presidenta, una cuestión de procedimiento.",{},f
14,I would like your advice about Rule 143 concerning inadmissibility.,Me gustaría que me asesorara sobre el Artículo 143 concerniente a la inadmisibilidad.,{},f
15,My question relates to something that will come up on Thursday and which I will then raise again.,"Mi pregunta se refiere a un asunto del que se hablará el jueves, día que en volveré a plantearla.",{},f
16,The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.,El informe Cunha sobre los programas de dirección plurianual se presenta al Parlamento el jueves y contiene una propuesta en el apartado 6 en torno a una forma de penalizaciones basada en cuotas que debe aplicarse a los países que no cumplan anualmente sus objetivos de reducción de flota.,{},f
17,It says that this should be done despite the principle of relative stability.,El informe estipula que se debe aplicarse a pesar del principio de estabilidad relativa.,{},f
18,I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,"Creo que el principio de estabilidad relativa es un principio legal fundamental de las políticas pesqueras comunitarias, por lo que una propuesta que lo subvierta es legalmente inadmisible.",{},f
19,"I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.","Quiero saber si se puede hacer este tipo de objeción a lo que sólo es un informe, no una propuesta legislativa, y si es algo que puedo plantear el jueves.",{},f
20,"That is precisely the time when you may, if you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","Su Señoría, si así lo desea, podrá plantear esta cuestión en ese momento, es decir, el jueves antes de que se presente el informe.",{},f
21,"Madam President, coinciding with this year' s first part-session of the European Parliament, a date has been set, unfortunately for next Thursday, in Texas in America, for the execution of a young 34 year-old man who has been sentenced to death. We shall call him Mr Hicks.","Señora Presidenta, coincidiendo con el primer período parcial de sesiones de este año del Parlamento Europeo, lamentablemente, en los Estados Unidos, en Texas, se ha fijado para el próximo jueves la ejecución de un condenado a la pena capital, un joven de 34 años que llamaremos con el nombre de Hicks.",{},f
22,"At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself. However, I would ask you, in accordance with the line which is now constantly followed by the European Parliament and by the whole of the European Community, to make representations, using the weight of your prestigious office and the institution you represent, to the President and to the Governor of Texas, Mr Bush, who has the power to order a stay of execution and to reprieve the condemned person.","A petición de un diputado francés, el Sr. Zimeray, se ha presentado una solicitud, cuyos firmantes han sido numerosos y entre los cuales me cuento, sin embargo, de conformidad con la posición constantemente expresada por el Parlamento Europeo y por toda la Comunidad europea, le pido que intervenga con el prestigio de su cargo y de la Institución que representa ante el Presidente y el Gobernador del Estado de Texas, Sr. Bush, que tiene la facultad de suspender la condena a muerte y de indultar al condenado.",{},f
23,This is all in accordance with the principles that we have always upheld.,"Todo ello, de conformidad con los principios que siempre hemos apoyado.",{},f
24,"Thank you, Mr Segni, I shall do so gladly.","Gracias, señor Segni, lo haré de muy buen grado.",{},f
25,"Indeed, it is quite in keeping with the positions this House has always adopted.","Está, sin duda, dentro de la línea de las posiciones que nuestro Parlamento siempre ha adoptado.",{},f
26,"Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.","Señora Presidenta, quisiera llamar la atención de usted acerca de un caso del que se ha ocupado una y otra vez este Parlamento.",{},f
27,It is the case of Alexander Nikitin.,Es el caso de Alexander Nikitin.,{},f
28,"All of us here are pleased that the courts have acquitted him and made it clear that in Russia, too, access to environmental information is a constitutional right.",Todos celebramos aquí que el tribunal le haya declarado inocente y que haya puesto de manifiesto que también en Rusia el acceso a la información sobre el medio ambiente es un derecho constitucional.,{},f
29,"Now, however, he is to go before the courts once more because the public prosecutor is appealing.","Sin embargo, sucede que va a ser acusado de nuevo, pues el fiscal interpondrá un recurso.",{},f
30,"We know, and we have stated as much in very many resolutions indeed, including specifically during the last plenary part-session of last year, that this is not solely a legal case and that it is wrong for Alexander Nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings.","Sabemos y lo hemos afirmado realmente en muchas resoluciones -precisamente en la última sesión plenaria del año pasado- que éste no es solamente un caso jurídico y que es un error acusar a Alexander Nikitin de conducta criminal y de traición, porque nosotros, como afectados por sus resultados, obtengamos provecho de ella.",{},f
31,"These findings form the basis of the European programmes to protect the Barents Sea, and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament's position, as expressed in the resolutions which it has adopted, clear as far as Russia is concerned.","Esos resultados constituyen la base de los programas europeos del mar de Barent y, por ello, le pido que estudie un borrador de carta que le describe los hechos más relevantes y que haga patente a Rusia esta posición que es acorde con las decisiones del Parlamento.",{},f
32,"Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.","Sí, señora Schroedter, de buena gana voy a examinar los hechos relacionados con este tema en cuanto reciba su carta.",{},f
33,"Madam President, I would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.","Señora Presidenta, en primer lugar me gustaría felicitarla por haber cumplido con su promesa ya que efectivamente en este primer periodo de sesiones del año nuevo se ha ampliado drásticamente el número de canales en nuestros despachos.",{},f
34,"But, Madam President, my personal request has not been met.","Sin embargo, señora Presidenta, no se ha hecho lo que yo había pedido.",{},f
35,"Although there are now two Finnish channels and one Portuguese one, there is still no Dutch channel, which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.","Bien es verdad que ahora hay dos canales finlandeses y uno portugués, pero aún no hay ninguno neerlandés y yo le había pedido un canal neerlandés, porque también los neerlandeses quisiéramos escuchar las noticias cada mes, cuando nos mandan a este exilio.",{},f
36,I would therefore once more ask you to ensure that we get a Dutch channel as well.,Por lo tanto quisiera pedirle nuevamente que se encargue de que podamos ver también un canal neerlandés.,{},f
37,"Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.","Señora Plooij-van Gorsel, puedo decirle que esa cuestión está en el orden del día de la reunión de cuestores fijada para el miércoles.",{},f
38,"It will, I hope, be examined in a positive light.",Espero que se examine con un espíritu positivo.,{},f
39,"Madam President, can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes?","Señora Presidenta, ¿podría decirme por qué este Parlamento no cumple la legislación de sanidad y seguridad que en realidad ha aprobado?",{},f
40,Why has no air quality test been done on this particular building since we were elected?,¿Por qué no se ha hecho ninguna prueba de calidad del aire de este edificio desde que hemos sido elegidos?,{},f
41,Why has there been no Health and Safety Committee meeting since 1998?,¿Por qué no se ha celebrado ninguna reunión del Comité de Sanidad y Seguridad desde 1998?,{},f
42,"Why has there been no fire drill, either in the Brussels Parliament buildings or the Strasbourg Parliament buildings?",¿Por qué no hemos tenido simulacros de incendio ni en los edificios del Parlamento de Bruselas ni en los del Parlamento de Estrasburgo?,{},f
43,Why are there no fire instructions?,¿Por qué no hay instrucciones en caso de incendio?,{},f
44,Why have the staircases not been improved since my accident?,¿Por qué no se han mejorado las escaleras desde mi accidente?,{},f
45,Why are no-smoking areas not enforced?,¿Por qué no se respetan las áreas de no fumadores?,{},f
46,It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.,Es totalmente vergonzoso que aprobemos una legislación y no la cumplamos ni nosotros mismos.,{},f
47,"Mrs Lynne, you are quite right and I shall check whether this has actually not been done.","Señora Lynne, tiene toda la razón del mundo, y verificaré si estas cosas no se han hecho de verdad.",{},f
48,"I shall also refer the matter to the College of Quaestors, and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.","También someteré el problema a la Junta de Cuestores, y estoy segura de que los cuestores harán lo debido para que respetemos las normas que, efectivamente, nosotros mismos votamos.",{},f
49,"Madam President, Mrs Díez González and I had tabled questions on certain opinions of the Vice-President, Mrs de Palacio, which appeared in a Spanish newspaper.","Sra. Presidenta, la Sra. Díez González y yo mismo habíamos presentado unas preguntas sobre determinadas opiniones, reproducidas en un diario español, de la Vicepresidenta, Sra. de Palacio.",{},f
50,The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,Los servicios competentes no las han incluido en el orden del día por considerar que ya habían sido contestadas en una sesión anterior.,{},f
51,"I would ask that they reconsider, since this is not the case.",Ruego que se reconsidere esta decisión porque esto no es así.,{},f
52,"The questions answered previously referred to Mrs de Palacio' s intervention, on another occasion, and not to these comments which appeared in the ABC newspaper on 18 November.","Las preguntas contestadas con anterioridad se referían a la intervención, en determinado expediente, de la Sra. de Palacio, no a esas declaraciones aparecidas en el diario ABC el 18 de noviembre pasado.",{},f
53,"Mr Berenguer Fuster, we shall check all this.","Señoría, vamos a verificar todo esto.",{},f
54,"I admit that, at present, the matter seems to be somewhat confused.","Le confieso que, de momento, las cosas me parecen un tanto confusas.",{},f
55,We shall therefore look into it properly to ensure that everything is as it should be.,"Por consiguiente, vamos a revisarlas con seriedad para que todo esté en orden.",{},f
56,"Madam President, I should like to know if there will be a clear message going out from Parliament this week about our discontent over today's decision refusing to renew the arms embargo on Indonesia, considering that the vast majority in this Parliament have endorsed the arms embargo in Indonesia in the past?","Señora Presidenta, me gustaría saber si el Parlamento emitirá esta semana un comunicado claro sobre el descontento por la decisión de hoy de no renovar el embargo de armas a Indonesia, considerando que la inmensa mayoría de este Parlamento apoyó en el pasado el embargo de armas a Indonesia.",{},f
57,Today's decision not to renew the embargo is extremely dangerous considering the situation there.,La decisión de hoy de no renovar el embargo es extremadamente peligrosa teniendo en cuenta la situación de ese país.,{},f
58,"So Parliament should send a message, since that is the wish of the vast majority.","Por lo tanto, el Parlamento debe enviar un mensaje, ya que ése es el deseo de la inmensa mayoría.",{},f
59,It is irresponsible of EU Member States to refuse to renew the embargo.,Es irresponsable por parte de los Estados Miembros de la UE negarse a renovar el embargo.,{},f
60,"As people have said, the situation there is extremely volatile.","Como ha dicho la gente, la situación allí es extremadamente precaria.",{},f
61,"There is, in fact, a risk of a military coup in the future.","De hecho, existe el riesgo de un golpe militar en el futuro.",{},f
62,We do not know what is happening.,No sabemos lo que está ocurriendo allí.,{},f
